,Likely_distance
0,1.5276374999999998
1,1.5317999999999998
2,1.5317999999999998
3,1.5276374999999998
4,1.5276374999999998
5,1.5276374999999998
6,1.5276374999999998
7,1.5276374999999998
8,1.5276374999999998
9,1.5276374999999998
10,1.5276374999999998
11,1.5276374999999998
12,1.5276374999999998
13,1.5276374999999998
14,1.5276374999999998
15,1.5276374999999998
16,1.5276374999999998
17,1.5276374999999998
18,1.5276374999999998
19,1.5276374999999998
20,1.5276374999999998
21,1.5276374999999998
22,1.5276374999999998
23,1.5276374999999998
24,1.5276374999999998
25,1.5276374999999998
26,1.5276374999999998
27,1.5276374999999998
28,1.5276374999999998
29,1.5276374999999998
30,1.5276374999999998
31,1.5276374999999998
32,1.5276374999999998
33,1.5276374999999998
34,1.5276374999999998
35,1.5276374999999998
36,1.5276374999999998
37,1.5276374999999998
38,1.5276374999999998
39,1.5276374999999998
40,1.5276374999999998
41,1.5276374999999998
42,1.5276374999999998
43,1.5276374999999998
44,1.5276374999999998
45,1.523475
46,1.5276374999999998
47,1.5276374999999998
48,1.5276374999999998
49,1.5276374999999998
50,1.5276374999999998
51,1.523475
52,1.5276374999999998
53,1.5276374999999998
54,1.5276374999999998
55,1.5276374999999998
56,1.5276374999999998
57,1.523475
58,1.523475
59,1.523475
60,1.523475
61,1.523475
62,1.523475
63,1.523475
64,1.523475
65,1.523475
66,1.523475
67,1.523475
68,1.523475
69,1.523475
70,1.523475
71,1.523475
72,1.523475
73,1.5276374999999998
74,1.5276374999999998
75,1.5276374999999998
76,1.5276374999999998
77,1.523475
78,1.523475
79,1.523475
80,1.523475
81,1.523475
82,1.523475
83,1.523475
84,1.5276374999999998
85,1.5276374999999998
86,1.5276374999999998
87,1.5276374999999998
88,1.5276374999999998
89,1.5276374999999998
90,1.5276374999999998
91,1.5276374999999998
92,1.523475
93,1.5276374999999998
94,1.5276374999999998
95,1.5276374999999998
96,1.5276374999999998
97,1.5276374999999998
98,1.5276374999999998
99,1.5276374999999998
