,Likely_distance
0,1.5817499999999998
1,1.5817499999999998
2,1.5817499999999998
3,1.5817499999999998
4,1.5817499999999998
5,1.5817499999999998
6,1.5817499999999998
7,1.5817499999999998
8,1.5817499999999998
9,1.5775875
10,1.5775875
11,1.5817499999999998
12,1.5817499999999998
13,1.5817499999999998
14,1.5775875
15,1.5775875
16,1.5817499999999998
17,1.5775875
18,1.5817499999999998
19,1.5817499999999998
20,1.5775875
21,1.5817499999999998
22,1.5817499999999998
23,1.5817499999999998
24,1.5817499999999998
25,1.5817499999999998
26,1.5817499999999998
27,1.5817499999999998
28,1.5817499999999998
29,1.5817499999999998
30,1.5817499999999998
31,1.5817499999999998
32,1.5775875
33,1.5775875
34,1.5775875
35,2.8804499999999997
36,2.6057249999999996
37,2.6057249999999996
38,1.5983999999999998
39,1.5983999999999998
40,1.5942374999999998
41,1.5942374999999998
42,1.5942374999999998
43,1.5983999999999998
44,1.590075
45,1.590075
46,1.5859124999999998
47,1.5859124999999998
48,1.5817499999999998
49,1.5817499999999998
50,1.5817499999999998
51,1.5817499999999998
52,1.5817499999999998
53,1.5817499999999998
54,1.6067249999999997
55,1.6067249999999997
56,1.6067249999999997
57,1.6025625
58,1.6067249999999997
59,1.6067249999999997
60,1.6067249999999997
61,1.6025625
62,1.6067249999999997
63,1.6067249999999997
64,1.5817499999999998
65,1.5817499999999998
66,1.5817499999999998
67,1.5817499999999998
68,1.5817499999999998
69,1.5817499999999998
70,1.5817499999999998
71,1.6025625
72,1.6067249999999997
73,1.6067249999999997
74,1.6067249999999997
75,1.6067249999999997
76,1.6025625
77,1.6067249999999997
78,1.6067249999999997
79,1.6067249999999997
80,1.6067249999999997
81,1.6067249999999997
82,1.6067249999999997
83,1.6067249999999997
84,1.6067249999999997
85,1.6067249999999997
86,1.6067249999999997
87,1.6108874999999998
88,1.6067249999999997
89,1.6067249999999997
90,1.6067249999999997
91,1.6067249999999997
92,1.6067249999999997
93,1.6067249999999997
94,1.6067249999999997
95,1.6025625
96,1.6025625
97,1.6025625
98,1.6025625
99,1.6025625
