,Likely_distance
0,1.1280374999999998
1,1.1280374999999998
2,1.1280374999999998
3,1.1280374999999998
4,1.1280374999999998
5,1.1280374999999998
6,1.1280374999999998
7,1.123875
8,1.1280374999999998
9,1.1280374999999998
10,1.123875
11,1.1280374999999998
12,1.1280374999999998
13,1.123875
14,1.1280374999999998
15,1.123875
16,1.123875
17,1.123875
18,1.123875
19,1.123875
20,1.123875
21,1.123875
22,1.123875
23,1.123875
24,1.123875
25,1.123875
26,1.123875
27,1.123875
28,1.123875
29,1.1197124999999999
30,1.123875
31,1.1197124999999999
32,1.1197124999999999
33,1.123875
34,1.1197124999999999
35,1.1197124999999999
36,1.1197124999999999
37,1.1197124999999999
38,1.1197124999999999
39,1.1197124999999999
40,1.1197124999999999
41,1.1197124999999999
42,1.1197124999999999
43,1.1197124999999999
44,1.1197124999999999
45,1.1197124999999999
46,1.1197124999999999
47,1.1155499999999998
48,1.1155499999999998
49,1.1197124999999999
50,1.1197124999999999
51,1.1197124999999999
52,1.1155499999999998
53,1.1155499999999998
54,1.1197124999999999
55,1.1197124999999999
56,1.1155499999999998
57,1.1155499999999998
58,1.1155499999999998
59,1.1155499999999998
60,1.1155499999999998
61,1.1155499999999998
62,1.1155499999999998
63,1.1155499999999998
64,1.1155499999999998
65,1.1155499999999998
66,1.1155499999999998
67,1.1155499999999998
68,1.1155499999999998
69,1.1155499999999998
70,1.1155499999999998
71,1.1155499999999998
72,1.1197124999999999
73,1.1155499999999998
74,1.1155499999999998
75,1.1197124999999999
76,1.1197124999999999
77,1.1197124999999999
78,1.1197124999999999
79,1.1197124999999999
80,1.1197124999999999
81,1.1197124999999999
82,1.1155499999999998
83,1.1155499999999998
84,1.1155499999999998
85,1.1155499999999998
86,1.1155499999999998
87,1.1155499999999998
88,1.1155499999999998
89,1.1155499999999998
90,1.1113875
91,1.1155499999999998
92,1.1155499999999998
93,1.1155499999999998
94,1.1155499999999998
95,1.1155499999999998
96,1.1113875
97,1.1113875
98,1.1113875
99,1.1113875
