,Likely_distance
0,3.1510124999999998
1,3.1510124999999998
2,3.155175
3,3.155175
4,3.155175
5,3.155175
6,3.155175
7,3.155175
8,3.155175
9,3.155175
10,3.1593374999999995
11,3.1593374999999995
12,3.1593374999999995
13,3.155175
14,3.1593374999999995
15,3.1593374999999995
16,3.1593374999999995
17,3.1593374999999995
18,3.1593374999999995
19,3.1634999999999995
20,3.1593374999999995
21,3.1593374999999995
22,3.1593374999999995
23,3.1593374999999995
24,3.1634999999999995
25,3.1593374999999995
26,3.1634999999999995
27,3.1634999999999995
28,3.1634999999999995
29,3.1634999999999995
30,3.1634999999999995
31,3.1634999999999995
32,3.1593374999999995
33,3.1260375
34,3.1260375
35,2.0313
36,2.0313
37,2.0313
38,2.0313
39,2.0313
40,2.0313
41,2.0313
42,2.0313
43,2.0313
44,2.0313
45,2.0313
46,2.0354625
47,2.0354625
48,2.0313
49,2.0313
50,2.0313
51,2.0313
52,2.0313
53,2.0313
54,2.0313
55,2.0313
56,2.0313
57,2.0313
58,2.0313
59,2.0313
60,2.0313
61,2.0313
62,2.0313
63,2.0313
64,2.0313
65,2.0313
66,2.0313
67,2.0313
68,2.0313
69,2.0313
70,2.0313
71,2.0313
72,2.0313
73,2.0313
74,2.0313
75,2.0313
76,2.0313
77,2.0354625
78,2.0354625
79,2.0354625
80,2.0354625
81,2.0354625
82,2.0354625
83,2.0313
84,2.0313
85,2.0354625
86,2.0354625
87,2.0354625
88,2.0354625
89,2.0354625
90,2.0354625
91,2.0354625
92,2.0354625
93,2.0354625
94,2.0354625
95,2.0354625
96,2.0354625
97,2.0354625
98,2.0354625
99,2.0354625
