,Likely_distance
0,2.4642
1,2.4642
2,2.4642
3,2.4642
4,2.4642
5,2.4642
6,2.4642
7,2.4642
8,2.4683624999999996
9,2.4683624999999996
10,2.4683624999999996
11,2.4683624999999996
12,2.4766874999999997
13,2.4725249999999996
14,2.4808499999999998
15,2.4808499999999998
16,2.4808499999999998
17,2.4808499999999998
18,2.4808499999999998
19,2.4850125
20,2.4850125
21,2.4850125
22,2.4808499999999998
23,2.4808499999999998
24,2.4808499999999998
25,2.4808499999999998
26,2.4725249999999996
27,2.4725249999999996
28,2.4725249999999996
29,2.4933374999999995
30,2.4933374999999995
31,2.4933374999999995
32,2.4933374999999995
33,2.4933374999999995
34,2.4933374999999995
35,2.489175
36,2.489175
37,2.489175
38,2.489175
39,2.489175
40,2.489175
41,2.4850125
42,2.4850125
43,2.4850125
44,2.4850125
45,2.4850125
46,2.4850125
47,2.4850125
48,2.4850125
49,2.4850125
50,2.4850125
51,2.4850125
52,2.4850125
53,2.4850125
54,2.4850125
55,2.489175
56,2.4850125
57,2.4850125
58,2.4850125
59,2.489175
60,2.489175
61,2.489175
62,2.489175
63,2.489175
64,2.489175
65,2.489175
66,2.489175
67,2.489175
68,2.489175
69,2.489175
70,2.4850125
71,2.4850125
72,2.4850125
73,2.4850125
74,2.4808499999999998
75,2.4808499999999998
76,2.4766874999999997
77,2.4766874999999997
78,2.4766874999999997
79,2.4766874999999997
80,2.4766874999999997
81,2.4766874999999997
82,2.4766874999999997
83,2.4766874999999997
84,2.4766874999999997
85,2.4766874999999997
86,2.4974999999999996
87,2.4933374999999995
88,2.4933374999999995
89,2.489175
90,2.4850125
91,2.489175
92,2.489175
93,2.4850125
94,2.4850125
95,2.4850125
96,2.489175
97,2.489175
98,2.489175
99,2.4850125
