,Likely_distance
0,3.1510124999999998
1,3.1468499999999997
2,2.8263374999999997
3,2.8305
4,2.8804499999999997
5,2.8804499999999997
6,2.8804499999999997
7,2.8804499999999997
8,2.8804499999999997
9,2.8804499999999997
10,2.8804499999999997
11,2.8804499999999997
12,2.8804499999999997
13,2.8804499999999997
14,2.8804499999999997
15,2.8804499999999997
16,2.8804499999999997
17,2.8804499999999997
18,2.8263374999999997
19,3.1468499999999997
20,3.1468499999999997
21,2.8263374999999997
22,3.1468499999999997
23,2.8263374999999997
24,2.8263374999999997
25,2.8263374999999997
26,3.0802499999999995
27,3.0844124999999996
28,2.8263374999999997
29,2.8263374999999997
30,2.8263374999999997
31,2.8263374999999997
32,2.8263374999999997
33,2.8263374999999997
34,2.8263374999999997
35,2.8263374999999997
36,2.8263374999999997
37,2.8263374999999997
38,2.8263374999999997
39,2.8263374999999997
40,2.8263374999999997
41,2.8263374999999997
42,2.8263374999999997
43,2.8263374999999997
44,2.8263374999999997
45,2.8263374999999997
46,2.8263374999999997
47,2.8263374999999997
48,2.8263374999999997
49,2.8263374999999997
50,2.8263374999999997
51,2.8221749999999997
52,2.8221749999999997
53,2.8221749999999997
54,3.0802499999999995
55,2.8221749999999997
56,2.8221749999999997
57,2.8221749999999997
58,2.8263374999999997
59,2.8263374999999997
60,2.8263374999999997
61,2.8263374999999997
62,2.6806499999999995
63,2.888775
64,2.888775
65,2.888775
66,2.6806499999999995
67,2.6806499999999995
68,2.6806499999999995
69,2.6806499999999995
70,2.888775
71,2.6764875
72,2.6806499999999995
73,2.6806499999999995
74,2.6806499999999995
75,2.6764875
76,2.6764875
77,2.6764875
78,3.1426874999999996
79,2.6764875
80,2.6806499999999995
81,2.6764875
82,2.6764875
83,2.6764875
84,2.8263374999999997
85,2.8263374999999997
86,2.8263374999999997
87,2.8263374999999997
88,2.8263374999999997
89,2.8263374999999997
90,2.8263374999999997
91,2.8263374999999997
92,2.8263374999999997
93,2.8263374999999997
94,2.8263374999999997
95,2.8263374999999997
96,2.8263374999999997
97,2.8263374999999997
98,2.8263374999999997
99,3.0885749999999996
